num,Date,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,gen,age
91,2017-05-31 13:12:17,7,2,3,6,1,1,1,6,2,3,1,3,6,5,6,1,1,,
92,2017-05-31 13:33:12,6,4,4,5,5,2,1,5,4,1,4,2,5,5,6,1,1,,
93,2017-05-31 13:34:35,3,7,2,5,1,2,1,5,2,6,4,3,5,5,5,1,6,,
94,2017-05-31 13:56:48,4,3,4,4,5,3,5,5,3,4,5,4,5,5,5,3,4,,
95,2017-05-31 17:07:06,5,2,2,4,1,1,2,7,2,3,1,2,5,5,6,1,2,,
96,2017-05-31 18:11:14,5,2,4,4,4,2,1,6,4,1,1,6,2,4,4,1,1,,
97,2017-05-31 19:02:32,6,3,3,4,5,2,1,6,5,4,4,3,2,6,6,6,2,,
98,2017-05-31 19:03:20,6,3,1,5,2,2,1,6,2,2,2,3,6,5,6,1,1,,
99,2017-05-31 20:57:13,5,3,1,6,3,4,1,5,4,4,1,2,1,3,4,1,1,,
100,2017-05-31 21:38:11,4,5,2,6,2,2,1,6,1,5,1,5,4,5,6,1,3,,
101,2017-05-31 21:42:23,5,3,1,6,2,1,1,6,1,2,5,2,5,6,6,1,1,,
102,2017-05-31 21:53:13,5,1,1,7,4,1,1,7,1,5,3,6,7,7,6,1,1,,
103,2017-05-31 22:43:57,5,4,1,5,2,5,1,4,1,4,1,1,5,5,4,3,5,,
104,2017-05-31 23:24:42,5,2,4,5,5,2,1,6,5,3,5,3,5,6,7,2,3,,
105,2017-06-01 00:05:55,5,3,4,4,3,2,1,5,3,3,4,3,5,6,6,3,3,,
106,2017-06-01 08:40:56,7,1,4,6,1,1,1,7,5,1,4,1,7,7,7,1,1,,
107,2017-06-01 10:29:32,6,4,6,5,6,2,2,6,6,1,6,2,6,6,6,5,2,,
108,2017-06-01 10:30:30,5,1,1,7,1,1,1,4,1,4,1,1,5,4,4,1,1,,
109,2017-06-01 15:45:02,6,5,5,7,5,1,1,6,4,1,4,1,4,6,6,6,1,,
110,2017-06-01 15:47:04,6,1,7,6,6,1,2,6,7,1,6,1,6,6,7,3,1,,
111,2017-06-02 15:03:46,5,3,2,4,3,1,1,6,1,7,4,5,5,6,6,1,3,,
112,2017-06-02 15:16:19,4,4,6,4,3,2,1,6,5,4,3,2,4,5,6,3,4,,
113,2017-06-02 16:33:31,4,2,4,3,2,6,7,4,1,5,4,2,4,6,4,1,3,,
114,2017-06-02 16:53:43,6,2,5,6,2,3,1,5,5,2,5,2,6,6,6,3,4,,
115,2017-06-02 20:07:12,5,2,3,5,2,2,1,5,2,4,3,6,5,5,6,2,2,,
116,2017-06-02 20:34:32,6,2,7,7,6,2,1,7,7,1,7,1,7,7,7,2,2,,
117,2017-06-02 21:30:58,5,4,4,6,3,2,1,6,2,2,4,4,6,6,6,1,1,,
118,2017-06-02 21:35:25,5,2,2,6,1,1,1,6,2,2,4,5,6,6,6,2,2,,
119,2017-06-02 22:55:24,4,4,3,4,4,2,1,6,2,5,3,5,4,6,5,3,1,,
120,2017-06-02 23:51:20,3,3,4,2,3,4,1,5,4,5,2,3,3,3,3,1,3,,
121,2017-06-03 09:54:09,6,3,5,7,4,4,1,5,5,5,6,3,4,6,5,1,2,,
122,2017-06-03 12:34:51,6,4,1,6,1,6,1,6,1,5,4,1,6,6,7,1,1,,
123,2017-06-03 14:07:56,6,3,5,6,6,3,3,5,6,2,6,3,6,6,6,2,6,,
124,2017-06-03 21:19:52,3,3,4,2,4,2,1,4,2,3,3,4,4,3,4,2,2,,
125,2017-06-03 23:56:15,7,2,4,5,3,1,1,4,4,2,3,2,5,5,6,2,1,,
126,2017-06-04 13:43:17,4,3,4,5,4,3,1,6,3,1,3,3,5,5,6,4,1,,
127,2017-06-05 20:39:26,5,2,3,5,4,2,1,5,3,1,3,3,5,5,6,4,3,,
128,2017-06-06 11:33:21,4,2,4,6,2,2,1,7,4,3,3,3,6,5,4,1,1,,
129,2017-06-06 15:59:04,5,3,5,2,6,2,3,6,5,2,5,2,5,5,5,3,2,,
130,2017-06-07 09:07:24,6,1,1,5,1,1,1,7,1,5,2,1,7,7,7,1,1,,
131,2017-06-08 09:18:31,5,2,4,5,4,2,4,5,2,3,3,3,5,5,5,3,6,,
132,2017-06-08 12:14:50,5,3,5,6,3,2,2,6,6,2,5,2,5,6,6,3,2,,
133,2017-06-09 16:23:37,5,4,3,5,3,3,2,5,2,3,3,4,5,5,5,2,2,,
134,2017-10-30 11:14:50,5,3,3,4,3,2,1,4,1,6,1,7,2,2,2,1,1,,
135,2017-10-30 11:36:34,5,2,4,5,6,2,3,7,6,1,7,1,5,5,7,4,1,,
136,2017-10-30 11:44:53,5,4,2,5,4,1,1,6,4,1,6,2,4,4,6,4,3,,
137,2017-10-30 11:58:12,5,5,4,6,6,1,1,6,1,1,4,1,6,4,7,2,1,,
138,2017-10-30 12:00:59,6,2,4,2,3,4,3,5,6,6,4,2,2,6,6,6,6,,
139,2017-10-30 12:05:10,5,3,4,7,3,1,1,1,3,1,1,3,7,7,7,4,1,,
140,2017-10-30 12:46:49,5,4,4,4,2,4,1,4,4,3,4,4,4,4,3,1,2,,
141,2017-10-30 12:50:01,2,1,4,5,4,1,1,5,4,3,4,3,4,4,5,2,2,,
142,2017-10-30 13:28:28,5,3,5,5,6,2,3,5,6,4,5,2,5,6,5,1,2,,
143,2017-10-30 13:31:01,4,2,2,4,2,2,1,5,1,3,2,2,1,4,4,1,5,,
144,2017-10-30 13:47:25,5,3,1,6,3,1,1,5,4,4,1,1,7,5,7,2,1,,
145,2017-10-30 14:11:23,4,3,6,5,6,3,3,4,6,2,4,2,3,3,4,4,3,,
146,2017-10-30 14:34:37,6,2,6,5,5,3,1,6,6,2,6,2,5,4,5,2,1,,
147,2017-10-30 15:52:18,6,4,6,4,6,4,3,6,4,3,5,4,4,6,6,1,4,,
148,2017-10-30 16:02:08,6,4,5,5,5,4,2,4,5,2,5,3,4,4,5,3,3,,
149,2017-10-30 16:20:35,5,4,3,3,5,4,3,5,5,4,3,3,4,4,4,3,1,,
150,2017-10-30 16:28:25,4,3,4,5,6,3,3,5,5,4,5,4,4,5,7,3,3,,
151,2017-10-30 16:55:34,4,1,1,1,1,1,1,3,1,1,1,1,6,6,6,1,4,,
152,2017-10-30 17:39:29,4,3,1,5,3,1,1,5,1,2,2,3,3,6,6,1,2,,
153,2017-10-30 18:16:23,5,4,6,6,3,2,1,6,5,7,3,3,2,4,5,2,2,,
154,2017-10-30 18:45:42,4,4,5,5,4,2,1,6,4,1,3,3,5,5,5,5,1,,
