"num","Date","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14","i15","i16","i17","gen","age","Dominancia","Prestigio"
83,"30/05/2017 21:04",5,2,3,4,3,1,1,6,4,2,2,3,5,5,6,2,1,NA,NA,3.25,5.66666666666667
84,"30/05/2017 21:09",5,4,6,6,4,1,1,5,5,2,5,1,6,6,6,1,4,NA,NA,4.375,5.44444444444444
85,"30/05/2017 22:36",5,5,5,2,4,2,3,6,5,2,3,2,5,4,5,2,2,NA,NA,4.25,4.66666666666667
86,"31/05/2017 0:55",7,1,3,7,4,1,1,7,4,4,1,4,7,7,6,1,1,NA,NA,2.75,6.88888888888889
87,"31/05/2017 3:02",6,3,4,5,5,4,1,6,4,4,4,4,7,5,4,1,3,NA,NA,3.375,5.22222222222222
88,"31/05/2017 7:50",4,2,6,5,5,2,4,6,6,1,5,1,6,5,5,1,2,NA,NA,5.125,5.44444444444444
89,"31/05/2017 9:48",5,2,4,4,2,3,1,6,3,5,3,3,5,5,4,1,1,NA,NA,2.75,5.22222222222222
90,"31/05/2017 11:14",3,3,2,3,3,4,3,4,3,3,3,5,4,4,3,3,3,NA,NA,3.125,3.88888888888889
91,"31/05/2017 13:12",7,2,3,6,1,1,1,6,2,3,1,3,6,5,6,1,1,NA,NA,2.375,6.22222222222222
92,"31/05/2017 13:33",6,4,4,5,5,2,1,5,4,1,4,2,5,5,6,1,1,NA,NA,4,5.44444444444444
93,"31/05/2017 13:34",3,7,2,5,1,2,1,5,2,6,4,3,5,5,5,1,6,NA,NA,2.25,4.11111111111111
94,"31/05/2017 13:56",4,3,4,4,5,3,5,5,3,4,5,4,5,5,5,3,4,NA,NA,4.125,4.66666666666667
95,"31/05/2017 17:07",5,2,2,4,1,1,2,7,2,3,1,2,5,5,6,1,2,NA,NA,2.5,5.66666666666667
96,"31/05/2017 18:11",5,2,4,4,4,2,1,6,4,1,1,6,2,4,4,1,1,NA,NA,3,4.88888888888889
97,"31/05/2017 19:02",6,3,3,4,5,2,1,6,5,4,4,3,2,6,6,6,2,NA,NA,4.125,5.22222222222222
98,"31/05/2017 19:03",6,3,1,5,2,2,1,6,2,2,2,3,6,5,6,1,1,NA,NA,2.5,5.77777777777778
99,"31/05/2017 20:57",5,3,1,6,3,4,1,5,4,4,1,2,1,3,4,1,1,NA,NA,2.625,4.44444444444444
100,"31/05/2017 21:38",4,5,2,6,2,2,1,6,1,5,1,5,4,5,6,1,3,NA,NA,1.75,5
101,"31/05/2017 21:42",5,3,1,6,2,1,1,6,1,2,5,2,5,6,6,1,1,NA,NA,2.875,5.88888888888889
102,"31/05/2017 21:53",5,1,1,7,4,1,1,7,1,5,3,6,7,7,6,1,1,NA,NA,2,6.66666666666667
103,"31/05/2017 22:43",5,4,1,5,2,5,1,4,1,4,1,1,5,5,4,3,5,NA,NA,2.5,4.22222222222222
104,"31/05/2017 23:24",5,2,4,5,5,2,1,6,5,3,5,3,5,6,7,2,3,NA,NA,4,5.66666666666667
105,"1/06/2017 0:05",5,3,4,4,3,2,1,5,3,3,4,3,5,6,6,3,3,NA,NA,3.5,5.22222222222222
106,"1/06/2017 8:40",7,1,4,6,1,1,1,7,5,1,4,1,7,7,7,1,1,NA,NA,3.75,6.88888888888889
107,"1/06/2017 10:29",6,4,6,5,6,2,2,6,6,1,6,2,6,6,6,5,2,NA,NA,5.5,5.66666666666667
108,"1/06/2017 10:30",5,1,1,7,1,1,1,4,1,4,1,1,5,4,4,1,1,NA,NA,2.125,5.55555555555556
109,"1/06/2017 15:45",6,5,5,7,5,1,1,6,4,1,4,1,4,6,6,6,1,NA,NA,4.875,5.77777777777778
110,"1/06/2017 15:47",6,1,7,6,6,1,2,6,7,1,6,1,6,6,7,3,1,NA,NA,5.625,6.44444444444444
111,"2/06/2017 15:03",5,3,2,4,3,1,1,6,1,7,4,5,5,6,6,1,3,NA,NA,2,5.44444444444444
112,"2/06/2017 15:16",4,4,6,4,3,2,1,6,5,4,3,2,4,5,6,3,4,NA,NA,3.875,4.77777777777778
113,"2/06/2017 16:33",4,2,4,3,2,6,7,4,1,5,4,2,4,6,4,1,3,NA,NA,3.5,4.22222222222222
114,"2/06/2017 16:53",6,2,5,6,2,3,1,5,5,2,5,2,6,6,6,3,4,NA,NA,4.125,5.55555555555556
115,"2/06/2017 20:07",5,2,3,5,2,2,1,5,2,4,3,6,5,5,6,2,2,NA,NA,2.375,5.44444444444444
116,"2/06/2017 20:34",6,2,7,7,6,2,1,7,7,1,7,1,7,7,7,2,2,NA,NA,5.5,6.55555555555556
117,"2/06/2017 21:30",5,4,4,6,3,2,1,6,2,2,4,4,6,6,6,1,1,NA,NA,3.125,5.77777777777778
118,"2/06/2017 21:35",5,2,2,6,1,1,1,6,2,2,4,5,6,6,6,2,2,NA,NA,2.625,6
119,"2/06/2017 22:55",4,4,3,4,4,2,1,6,2,5,3,5,4,6,5,3,1,NA,NA,2.75,5.11111111111111
120,"2/06/2017 23:51",3,3,4,2,3,4,1,5,4,5,2,3,3,3,3,1,3,NA,NA,2.875,3.66666666666667
121,"3/06/2017 9:54",6,3,5,7,4,4,1,5,5,5,6,3,4,6,5,1,2,NA,NA,3.75,5.33333333333333
122,"3/06/2017 12:34",6,4,1,6,1,6,1,6,1,5,4,1,6,6,7,1,1,NA,NA,2.375,5.55555555555556
123,"3/06/2017 14:07",6,3,5,6,6,3,3,5,6,2,6,3,6,6,6,2,6,NA,NA,4.875,5.22222222222222
124,"3/06/2017 21:19",3,3,4,2,4,2,1,4,2,3,3,4,4,3,4,2,2,NA,NA,3.125,4.11111111111111
125,"3/06/2017 23:56",7,2,4,5,3,1,1,4,4,2,3,2,5,5,6,2,1,NA,NA,3.625,5.77777777777778
126,"4/06/2017 13:43",4,3,4,5,4,3,1,6,3,1,3,3,5,5,6,4,1,NA,NA,3.875,5.33333333333333
127,"5/06/2017 20:39",5,2,3,5,4,2,1,5,3,1,3,3,5,5,6,4,3,NA,NA,3.75,5.33333333333333
128,"6/06/2017 11:33",4,2,4,6,2,2,1,7,4,3,3,3,6,5,4,1,1,NA,NA,3.125,5.66666666666667
129,"6/06/2017 15:59",5,3,5,2,6,2,3,6,5,2,5,2,5,5,5,3,2,NA,NA,4.875,5
130,"7/06/2017 9:07",6,1,1,5,1,1,1,7,1,5,2,1,7,7,7,1,1,NA,NA,2.125,6.66666666666667
131,"8/06/2017 9:18",5,2,4,5,4,2,4,5,2,3,3,3,5,5,5,3,6,NA,NA,3.75,4.88888888888889
132,"8/06/2017 12:14",5,3,5,6,3,2,2,6,6,2,5,2,5,6,6,3,2,NA,NA,4.5,5.66666666666667
133,"9/06/2017 16:23",5,4,3,5,3,3,2,5,2,3,3,4,5,5,5,2,2,NA,NA,3,5
