"num","Date","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14","i15","i16","i17","gen","age","Dominancia","Prestigio"
423,"8/05/2019 10:09",5,1,2,4,3,1,1,6,2,4,4,2,6,6,5,1,2,NA,NA,2.875,5.77777777777778
424,"8/05/2019 10:18",6,4,2,4,2,2,1,6,1,4,2,5,5,5,5,2,4,NA,NA,2.125,5
425,"8/05/2019 17:09",5,4,3,5,4,4,2,5,4,4,4,4,5,5,5,2,4,NA,NA,3.375,4.66666666666667
426,"8/05/2019 19:42",5,1,7,7,5,1,2,5,5,3,5,1,7,7,6,4,2,NA,NA,5,6.33333333333333
427,"8/05/2019 20:30",4,2,3,4,3,5,1,5,3,3,3,4,4,4,5,3,2,NA,NA,3.125,4.55555555555556
428,"8/05/2019 21:29",6,4,1,4,2,4,1,5,3,4,3,6,5,5,6,1,2,NA,NA,2.125,5
429,"8/05/2019 21:30",6,2,6,6,6,2,4,6,6,2,6,2,7,7,7,2,2,NA,NA,5.25,6.33333333333333
430,"8/05/2019 21:33",5,3,4,5,4,2,2,7,4,4,5,3,6,6,6,3,2,NA,NA,3.875,5.77777777777778
431,"9/05/2019 8:12",6,4,3,6,2,4,1,7,2,4,2,4,5,6,7,2,2,NA,NA,2.5,5.66666666666667
432,"9/05/2019 18:22",6,3,1,6,1,1,1,7,3,3,1,3,6,5,6,3,2,NA,NA,2.5,6
433,"9/05/2019 19:54",5,2,2,4,3,3,1,3,3,2,1,3,4,4,4,1,2,NA,NA,2.75,4.55555555555556
434,"10/05/2019 9:01",5,4,2,4,2,2,1,5,2,3,2,6,5,4,6,2,2,NA,NA,2.25,5
435,"10/05/2019 9:58",4,4,2,5,5,1,2,4,4,2,3,2,4,5,6,5,2,NA,NA,4.125,5
436,"10/05/2019 10:23",5,1,4,6,3,2,4,5,5,3,2,2,3,3,5,2,2,NA,NA,3.875,5.11111111111111
437,"10/05/2019 19:31",6,4,2,4,2,4,1,5,4,4,4,4,5,6,6,1,4,NA,NA,2.75,4.88888888888889
438,"10/05/2019 22:14",5,3,3,4,2,3,1,6,2,4,2,6,4,4,5,3,2,NA,NA,2.375,4.88888888888889
439,"11/05/2019 7:55",6,3,3,4,3,3,3,5,2,4,2,2,5,5,4,3,2,NA,NA,3.25,5
440,"11/05/2019 13:48",4,3,4,4,3,3,1,5,3,3,3,3,4,5,5,2,2,NA,NA,3.25,4.77777777777778
441,"13/05/2019 12:17",5,3,6,4,7,2,4,5,6,2,4,1,4,6,5,2,4,NA,NA,5.25,4.88888888888889
442,"13/05/2019 16:08",5,2,3,6,4,2,1,7,1,4,4,1,6,5,6,2,1,NA,NA,3.25,6
443,"13/05/2019 19:20",4,4,3,5,3,4,2,4,2,5,3,6,5,5,6,5,4,NA,NA,2.875,4.55555555555556
444,"13/05/2019 20:45",5,2,5,4,5,2,1,6,4,5,7,1,6,6,6,2,2,NA,NA,4.25,5.66666666666667
445,"14/05/2019 21:57",5,4,1,6,3,2,1,6,2,2,2,7,6,6,6,1,4,NA,NA,2.125,5.44444444444444
446,"15/05/2019 7:33",5,1,1,2,2,1,1,3,2,4,1,2,4,3,4,1,2,NA,NA,2.25,4.55555555555556
447,"15/05/2019 10:04",5,4,3,5,3,3,2,5,3,4,3,3,5,4,5,2,2,NA,NA,3.125,4.88888888888889
448,"15/05/2019 11:22",7,1,4,6,4,2,2,7,3,3,4,3,6,6,6,1,2,NA,NA,3.5,6.33333333333333
449,"15/05/2019 11:24",6,2,6,7,2,1,1,7,5,2,1,1,6,7,7,1,1,NA,NA,3.625,6.66666666666667
450,"15/05/2019 14:19",5,4,3,5,2,3,1,5,3,4,4,5,6,5,5,2,2,NA,NA,2.75,5.11111111111111
451,"15/05/2019 14:28",4,3,5,4,2,4,1,5,4,4,3,3,5,4,5,3,4,NA,NA,3.375,4.44444444444444
452,"15/05/2019 18:33",5,3,6,6,5,1,1,7,6,1,4,1,6,7,7,2,1,NA,NA,4.75,6.33333333333333
453,"15/05/2019 19:35",7,4,4,3,3,6,2,5,3,5,4,2,2,4,5,3,2,NA,NA,3.5,4.22222222222222
454,"15/05/2019 21:27",6,1,7,6,5,2,1,7,6,1,6,2,7,7,7,1,1,NA,NA,4.875,6.66666666666667
455,"15/05/2019 23:00",5,3,4,6,4,3,3,5,4,4,4,4,5,4,5,3,4,NA,NA,3.75,4.88888888888889
456,"16/05/2019 7:32",6,4,3,6,3,2,1,5,3,3,3,3,5,5,4,1,3,NA,NA,3,5.11111111111111
457,"16/05/2019 9:13",6,2,7,7,6,2,2,7,7,2,6,1,7,7,7,4,3,NA,NA,5.625,6.44444444444444
458,"16/05/2019 10:28",5,4,3,2,3,2,2,2,3,3,4,5,3,1,2,2,2,NA,NA,3.125,3.44444444444444
459,"16/05/2019 14:33",5,3,2,4,1,2,2,4,2,2,3,4,4,4,4,2,2,NA,NA,2.75,4.66666666666667
460,"19/05/2019 19:01",3,4,7,4,3,6,1,5,5,6,4,3,5,7,7,1,4,NA,NA,3.5,4.55555555555556
461,"20/05/2019 21:50",4,1,1,1,5,1,1,5,4,1,1,1,1,4,1,1,1,NA,NA,3.375,4.11111111111111
462,"28/02/2024 19:44",4,3,3,5,3,3,3,4,3,5,3,4,2,3,3,6,2,"Mujer",44,3.5,4.11111111111111
463,"29/02/2024 00:33",6,2,3,5,2,1,2,6,1,5,1,5,5,7,6,2,2,"Hombre",45,2.125,6
464,"29/02/2024 07:22",5,2,5,5,3,2,3,6,4,5,4,5,5,6,5,2,2,"Hombre",62,3.375,5.55555555555556
465,"29/02/2024 07:40",4,1,1,7,1,1,1,4,1,7,1,7,4,1,4,1,7,"Hombre",28,1,4.33333333333333
466,"29/02/2024 13:22",6,1,4,5,1,1,1,7,1,4,1,7,6,5,7,1,1,"Mujer",42,1.75,6.33333333333333
467,"29/02/2024 16:22",5,4,5,5,2,2,1,6,4,1,1,3,4,5,4,7,4,"Mujer",38,4,4.77777777777778
